file_origin	stimulus	brain_region
2025_03_03_0000.abf	250	CA1
2025_03_03_0000.abf	250	CA1
2025_03_03_0000.abf	300	CA1
2025_03_03_0000.abf	300	CA1
2025_03_03_0000.abf	300	CA1
2025_03_03_0000.abf	400	CA1
2025_03_03_0000.abf	400	CA1
2025_03_03_0000.abf	400	CA1
2025_03_03_0000.abf	500	CA1
2025_03_03_0000.abf	500	CA1
2025_03_03_0000.abf	500	CA1
2025_03_03_0000.abf	600	CA1
2025_03_03_0000.abf	600	CA1
2025_03_03_0000.abf	600	CA1
2025_03_03_0001.abf	25	DG
2025_03_03_0001.abf	25	DG
2025_03_03_0001.abf	25	DG
2025_03_03_0001.abf	50	DG
2025_03_03_0001.abf	50	DG
2025_03_03_0001.abf	50	DG
2025_03_03_0001.abf	75	DG
2025_03_03_0001.abf	75	DG
2025_03_03_0001.abf	75	DG
2025_03_03_0001.abf	100	DG
2025_03_03_0001.abf	100	DG
2025_03_03_0001.abf	100	DG
2025_03_03_0001.abf	150	DG
2025_03_03_0001.abf	150	DG
2025_03_03_0001.abf	150	DG
2025_03_03_0001.abf	200	DG
2025_03_03_0001.abf	200	DG
2025_03_03_0001.abf	200	DG
2025_03_03_0001.abf	250	DG
2025_03_03_0001.abf	250	DG
2025_03_03_0001.abf	250	DG
2025_03_03_0001.abf	300	DG
2025_03_03_0001.abf	300	DG
2025_03_03_0001.abf	300	DG
2025_03_03_0001.abf	400	DG
2025_03_03_0001.abf	400	DG
2025_03_03_0001.abf	400	DG
2025_03_03_0001.abf	500	DG
2025_03_03_0001.abf	500	DG
2025_03_03_0001.abf	500	DG
2025_03_03_0001.abf	600	DG
2025_03_03_0001.abf	600	DG
2025_03_03_0001.abf	600	DG
2025_03_03_0006.abf	25	DG
2025_03_03_0006.abf	25	DG
2025_03_03_0006.abf	25	DG
2025_03_03_0006.abf	50	DG
2025_03_03_0006.abf	50	DG
2025_03_03_0006.abf	50	DG
2025_03_03_0006.abf	75	DG
2025_03_03_0006.abf	75	DG
2025_03_03_0006.abf	75	DG
2025_03_03_0006.abf	100	DG
2025_03_03_0006.abf	100	DG
2025_03_03_0006.abf	100	DG
2025_03_03_0006.abf	150	DG
2025_03_03_0006.abf	150	DG
2025_03_03_0006.abf	150	DG
2025_03_03_0006.abf	200	DG
2025_03_03_0006.abf	200	DG
2025_03_03_0006.abf	200	DG
2025_03_03_0006.abf	250	DG
2025_03_03_0006.abf	250	DG
2025_03_03_0006.abf	250	DG
2025_03_03_0006.abf	300	DG
2025_03_03_0006.abf	300	DG
2025_03_03_0006.abf	300	DG
2025_03_03_0006.abf	400	DG
2025_03_03_0006.abf	400	DG
2025_03_03_0006.abf	400	DG
2025_03_03_0006.abf	500	DG
2025_03_03_0006.abf	500	DG
2025_03_03_0006.abf	500	DG
2025_03_03_0006.abf	600	DG
2025_03_03_0006.abf	600	DG
2025_03_03_0006.abf	600	DG
2025_03_03_0007.abf	25	CA1
2025_03_03_0007.abf	25	CA1
2025_03_03_0007.abf	25	CA1
2025_03_03_0007.abf	50	CA1
2025_03_03_0007.abf	50	CA1
2025_03_03_0007.abf	50	CA1
